application_id,candidate_id,role_id,status,applied_at,updated_at
10592,9839,1,test_completed,2025-11-19T09:57:00.082072,2025-11-19T09:57:00.082072
10593,9840,1,test_completed,2025-11-21T10:36:00.082072,2025-11-21T10:36:00.082072
10594,9841,1,test_completed,2025-10-08T11:28:00.082072,2025-10-08T11:28:00.082072
10595,9842,1,test_completed,2025-11-19T17:25:00.082072,2025-11-19T17:25:00.082072
10596,9843,1,test_completed,2025-10-08T10:24:00.082072,2025-10-08T10:24:00.082072
10597,9844,1,test_completed,2025-10-11T18:04:00.082072,2025-10-11T18:04:00.082072
10598,9845,1,test_completed,2025-11-16T14:20:00.082072,2025-11-16T14:20:00.082072
10599,9846,1,test_completed,2025-10-08T09:29:00.082072,2025-10-08T09:29:00.082072
10600,9847,1,test_completed,2025-10-04T11:03:00.082072,2025-10-04T11:03:00.082072
10601,9848,1,test_completed,2025-10-24T12:00:00.082072,2025-10-24T12:00:00.082072
10602,9849,1,test_completed,2025-10-15T12:06:00.082072,2025-10-15T12:06:00.082072
10603,9850,1,test_completed,2025-10-05T08:55:00.082072,2025-10-05T08:55:00.082072
10604,9851,1,not_eligible,2025-10-21T14:38:00.082072,2025-10-21T14:38:00.082072
10605,9852,1,not_eligible,2025-10-15T10:18:00.082072,2025-10-15T10:18:00.082072
10606,9853,1,test_completed,2025-10-12T14:30:00.082072,2025-10-12T14:30:00.082072
10607,9854,1,eligible,2025-11-22T15:45:00.082072,2025-11-22T15:45:00.082072
10608,9855,1,eligible,2025-10-09T11:08:00.082072,2025-10-09T11:08:00.082072
10609,9856,1,test_completed,2025-10-05T17:48:00.082072,2025-10-05T17:48:00.082072
10610,9857,1,test_completed,2025-10-10T09:37:00.082072,2025-10-10T09:37:00.082072
10611,9858,1,test_completed,2025-11-23T09:36:00.082072,2025-11-23T09:36:00.082072
10612,9859,1,eligible,2025-11-17T17:30:00.082072,2025-11-17T17:30:00.082072
10613,9860,1,test_completed,2025-10-04T08:30:00.082072,2025-10-04T08:30:00.082072
10614,9861,1,test_completed,2025-10-05T14:51:00.082072,2025-10-05T14:51:00.082072
10615,9862,1,test_completed,2025-10-17T09:57:00.082072,2025-10-17T09:57:00.082072
10616,9863,1,test_completed,2025-10-18T08:30:00.082072,2025-10-18T08:30:00.082072
10617,9864,1,not_eligible,2025-10-23T11:06:00.082072,2025-10-23T11:06:00.082072
10618,9865,1,test_completed,2025-10-07T13:28:00.082072,2025-10-07T13:28:00.082072
10619,9866,1,test_completed,2025-10-21T18:12:00.082072,2025-10-21T18:12:00.082072
10620,9867,1,eligible,2025-11-18T09:00:00.082072,2025-11-18T09:00:00.082072
10621,9868,1,test_completed,2025-10-11T14:55:00.082072,2025-10-11T14:55:00.082072
10622,9869,1,not_eligible,2025-10-09T18:41:00.082072,2025-10-09T18:41:00.082072
10623,9870,1,test_completed,2025-10-13T13:20:00.082072,2025-10-13T13:20:00.082072
10624,9871,1,not_eligible,2025-10-09T13:10:00.082072,2025-10-09T13:10:00.082072
10625,9872,1,not_eligible,2025-10-04T14:46:00.082072,2025-10-04T14:46:00.082072
10626,9873,1,test_completed,2025-11-21T14:38:00.082072,2025-11-21T14:38:00.082072
10627,9874,1,test_completed,2025-10-18T10:54:00.082072,2025-10-18T10:54:00.082072
10628,9875,1,test_completed,2025-10-14T11:59:00.082072,2025-10-14T11:59:00.082072
10629,9876,1,test_completed,2025-10-05T11:08:00.082072,2025-10-05T11:08:00.082072
10630,9877,1,test_completed,2025-10-06T10:39:00.082072,2025-10-06T10:39:00.082072
10631,9878,1,test_completed,2025-10-05T17:32:00.082072,2025-10-05T17:32:00.082072
10632,9879,1,not_eligible,2025-11-21T16:30:00.082072,2025-11-21T16:30:00.082072
10633,9880,1,not_eligible,2025-10-05T15:42:00.082072,2025-10-05T15:42:00.082072
10634,9881,1,test_completed,2025-10-07T16:35:00.082072,2025-10-07T16:35:00.082072
10635,9882,1,test_completed,2025-11-21T16:53:00.082072,2025-11-21T16:53:00.082072
10636,9883,1,test_completed,2025-11-22T10:50:00.082072,2025-11-22T10:50:00.082072
10637,9884,1,not_eligible,2025-10-09T18:07:00.082072,2025-10-09T18:07:00.082072
10638,9885,1,test_completed,2025-11-19T15:52:00.082072,2025-11-19T15:52:00.082072
10639,9886,1,test_completed,2025-11-23T13:04:00.082072,2025-11-23T13:04:00.082072
10640,9887,1,test_completed,2025-10-24T17:17:00.082072,2025-10-24T17:17:00.082072
10641,9888,1,test_completed,2025-10-06T08:04:00.082072,2025-10-06T08:04:00.082072
10642,9889,1,eligible,2025-11-17T17:28:00.082072,2025-11-17T17:28:00.082072
10643,9890,1,not_eligible,2025-10-24T17:46:00.082072,2025-10-24T17:46:00.082072
10644,9891,1,test_completed,2025-10-06T14:37:00.082072,2025-10-06T14:37:00.082072
10645,9892,1,test_completed,2025-11-21T11:26:00.082072,2025-11-21T11:26:00.082072
10646,9893,1,not_eligible,2025-10-09T14:47:00.082072,2025-10-09T14:47:00.082072
10647,9894,1,test_completed,2025-10-15T10:17:00.082072,2025-10-15T10:17:00.082072
10648,9895,1,eligible,2025-10-09T16:12:00.082072,2025-10-09T16:12:00.082072
10649,9896,1,test_completed,2025-10-08T12:21:00.082072,2025-10-08T12:21:00.082072
10650,9897,1,test_completed,2025-11-17T13:19:00.082072,2025-11-17T13:19:00.082072
10651,9898,1,test_completed,2025-10-07T10:15:00.082072,2025-10-07T10:15:00.082072
10652,9899,1,test_completed,2025-11-17T13:54:00.082072,2025-11-17T13:54:00.082072
10653,9900,1,test_completed,2025-11-16T16:23:00.082072,2025-11-16T16:23:00.082072
10654,9901,1,test_completed,2025-10-09T09:32:00.082072,2025-10-09T09:32:00.082072
10655,9902,1,test_completed,2025-10-19T10:39:00.082072,2025-10-19T10:39:00.082072
10656,9903,1,test_completed,2025-10-08T10:33:00.082072,2025-10-08T10:33:00.082072
10657,9904,2,test_completed,2025-10-30T11:59:00.082113,2025-10-30T11:59:00.082113
10658,9905,2,test_completed,2025-10-27T17:00:00.082113,2025-10-27T17:00:00.082113
10659,9906,2,test_completed,2025-10-23T18:52:00.082113,2025-10-23T18:52:00.082113
10660,9907,2,not_eligible,2025-11-01T12:02:00.082113,2025-11-01T12:02:00.082113
10661,9908,2,test_completed,2025-11-04T12:32:00.082113,2025-11-04T12:32:00.082113
10662,9909,2,test_completed,2025-10-29T10:29:00.082113,2025-10-29T10:29:00.082113
10663,9910,2,test_completed,2025-11-23T12:16:00.082113,2025-11-23T12:16:00.082113
10664,9911,2,test_completed,2025-10-23T18:56:00.082113,2025-10-23T18:56:00.082113
10665,9912,2,test_completed,2025-11-21T10:09:00.082113,2025-11-21T10:09:00.082113
10666,9913,2,eligible,2025-11-02T11:48:00.082113,2025-11-02T11:48:00.082113
10667,9914,2,test_completed,2025-11-22T11:56:00.082113,2025-11-22T11:56:00.082113
